Вакансия,Город,Работадатель,Специальность,Зп. от,Зп. до,Тип занятости,Опыт
​2D concept artist,Москва,CHAMELEON42,Игровое ПО,90000,130000,Полный день,От 1 года до 3 лет
(СРОЧНО) HR менеджер / Менеджер по подбору персонала,Ростов-на-Дону,Альтхаус,Рекрутмент,40000,55000,Полный день,От 1 года до 3 лет
.NET / .NET Core C# разработчик,Саратов,Space App,Программирование,60000,100000,Полный день,От 1 года до 3 лет
.NET / C# разработчик Middle,Санкт-Петербург,Бисофт,Программирование,150000,180000,Полный день,От 3 до 6 лет
.NET / C# разработчик Middle,Санкт-Петербург,Когорта-М,Программирование,150000,220000,Полный день,От 3 до 6 лет
.NET Developer,Томск,Loymax,Программирование,80000,160000,Полный день,От 1 года до 3 лет
.Net Middle Developer,Новосибирск,IQsоft,Программирование,130000,170000,Удаленная работа,От 1 года до 3 лет
.net разработчик,Пермь,Stroki,Программирование,80000,120000,Полный день,От 1 года до 3 лет
1C Developer/ Программист 1С,Новосибирск,NAN Agency,Программирование,100000,180000,Полный день,От 3 до 6 лет
1С Аналитик-консультант,Санкт-Петербург,Завод слоистых пластиков,Программирование,100000,130000,Полный день,От 3 до 6 лет
1С Консультант,Симферополь,Куденков Андрей Сергеевич,Бухгалтер,45000,45000,Полный день,От 1 года до 3 лет
1С консультант (1С ERP),Москва,Zentiva,Другое,180000,200000,Полный день,От 1 года до 3 лет
1С консультант по БГУ,Омск,Бизнес Системы,Программирование,35000,70000,Полный день,От 1 года до 3 лет
1С программист,Екатеринбург,Bronevik.com,Программирование,100000,130000,Гибкий график,От 1 года до 3 лет
1С программист,Иваново,СТАРК,Программирование,40000,200000,Полный день,От 1 года до 3 лет
1С программист,Липецк,ГСКС Профи,Программирование,60000,90000,Полный день,От 1 года до 3 лет
1С программист,Нижний Новгород,СТАРК,Программирование,40000,200000,Полный день,От 1 года до 3 лет
1С Программист (удаленно),Томск,Крео-софт,Программирование,80000,150000,Удаленная работа,От 1 года до 3 лет
1с программист-разработчик,Хабаровск,Газпром газораспределение Дальний Восток,Программирование,80000,100000,Полный день,От 1 года до 3 лет
1С специалист,Иваново,СТАРК,Программирование,30000,100000,Полный день,От 1 года до 3 лет
1С специалист,Нижний Новгород,СТАРК,Программирование,30000,150000,Полный день,От 1 года до 3 лет
1С-Битрикс разработчик,Тула,Qtim,Программирование,60000,150000,Полный день,От 1 года до 3 лет
"2D Аниматор (Moho, Toon Boom)",Пермь,Капризка,Игровое ПО,30000,150000,Полный день,От 1 года до 3 лет
2D Аниматор (мобильные игры),Москва,Свекор,Игровое ПО,50000,90000,Полный день,От 1 года до 3 лет
2D дизайнер,Санкт-Петербург,БИНОВИ,Игровое ПО,60000,80000,Полный день,От 1 года до 3 лет
"2D, Концепт-Арт художник",Новосибирск,Индустрия Развлечений,Игровое ПО,30000,70000,Полный день,От 3 до 6 лет
2D-художник,Ростов-на-Дону,Бабаян Давид Сережаевич,Игровое ПО,30000,40000,Полный день,От 1 года до 3 лет
2D-художник,Санкт-Петербург,АЛМА,Игровое ПО,40000,45000,Полный день,От 1 года до 3 лет
2D-художник / 2D Artist,Новосибирск,Арпаплюс,Игровое ПО,40000,120000,Гибкий график,От 1 года до 3 лет
3d Artist / 3d моделлер,Воронеж,SpecificLab,Игровое ПО,40000,90000,Гибкий график,От 1 года до 3 лет
3D визуализатор - дизайнер интерьера,Улан-Удэ,Мебельный рай,Игровое ПО,30000,40000,Полный день,От 1 года до 3 лет
3D Визуализатор интерьеров,Челябинск,Академия Компьютерных Технологий и Дизайна,Игровое ПО,60000,120000,Полный день,От 1 года до 3 лет
3D конструктор,Санкт-Петербург,Русские самоцветы,Игровое ПО,50000,100000,Полный день,От 3 до 6 лет
3D-дизайнер,Барнаул,Фабрика дверей PORTALLE,Игровое ПО,30000,45000,Полный день,От 1 года до 3 лет
3D-дизайнер / Визуализатор / Рендер-артист (Химки),Химки,OPADIRIS,Игровое ПО,70000,80000,Полный день,От 1 года до 3 лет
3D-дизайнер выставочных стендов,Москва,ЭкспоЭлит,Игровое ПО,40000,180000,Полный день,От 1 года до 3 лет
3D-дизайнер ювелирных изделий,Москва,Золото и Стиль,Игровое ПО,70000,140000,Полный день,От 3 до 6 лет
3D-разработчик (WebGL),Москва,Группа компаний «Триумф»,Программирование,50000,170000,Полный день,От 1 года до 3 лет
3Д визуализатор-Дизайнер,Москва,Студия Анжелики Прудниковой,Игровое ПО,80000,170000,Полный день,Более 6 лет
Android - разработчик (middle+),Ростов-на-Дону,Интеллектика,Программирование,100000,250000,Полный день,От 1 года до 3 лет
Android developer,Москва,LATOKEN,Программирование,300000,500000,Удаленная работа,От 3 до 6 лет
Android developer,Москва,Аппликатура,Программирование,200000,300000,Удаленная работа,Нет опыта
Android developer,Москва,Аппликатура,Программирование,200000,300000,Удаленная работа,От 1 года до 3 лет
Android developer,Москва,Инкотекс,Программирование,200000,250000,Полный день,От 3 до 6 лет
Android developer,Омск,Igor Polyakov Consulting,Программирование,100000,150000,Удаленная работа,От 3 до 6 лет
Android developer,Тольятти,Appscreat Mobile Studio,Программирование,50000,100000,Гибкий график,От 3 до 6 лет
"Android developer (Java, Kotlin)",Санкт-Петербург,TASSTA,Программирование,200000,350000,Полный день,От 3 до 6 лет
Android Developer (Junior +),Новосибирск,Appsgeyser.com,Программирование,80000,80000,Удаленная работа,От 1 года до 3 лет
Android Developer (Middle+ - Senior),Омск,Effective,Программирование,170000,240000,Полный день,От 3 до 6 лет
Android developer / android разработчик (Kotlin),Москва,айФлекс,Программирование,150000,200000,Полный день,Нет опыта
Android Developer Middle-Senior,Томск,Digital Nomads,Программирование,150000,250000,Полный день,От 1 года до 3 лет
Android разработчик,Москва,Quantum Art,Программирование,160000,200000,Полный день,От 1 года до 3 лет
Android разработчик,Москва,Smart Revolution,Программирование,50000,70000,Полный день,От 1 года до 3 лет
Android разработчик,Нижний Новгород,Блэк Софтвэр,Программирование,90000,150000,Удаленная работа,От 1 года до 3 лет
Android разработчик,Санкт-Петербург,Quantum Art,Программирование,160000,200000,Полный день,От 1 года до 3 лет
Android разработчик,Томск,ReTech Labs,Программирование,180000,300000,Полный день,От 3 до 6 лет
Android- разработчик (Java/Kotlin),Москва,Мидлэнд Ритейл Груп,Программирование,220000,350000,Полный день,От 1 года до 3 лет
Android- разработчик (Java/Kotlin),Москва,Мидлэнд Ритейл Груп,Программирование,220000,350000,Полный день,От 3 до 6 лет
Android разработчик (middle),Новосибирск,Элементарные программные решения,Программирование,150000,280000,Полный день,От 1 года до 3 лет
Android Разработчик / Android Developer,Белгород,Роллерсофт,Программирование,130000,180000,Удаленная работа,От 1 года до 3 лет
Android-разработчик,Новосибирск,Инетра,Программирование,50000,50000,Гибкий график,От 1 года до 3 лет
Android-разработчик (Java/Kotlin),Москва,Мидлэнд Ритейл Груп,Программирование,220000,350000,Полный день,От 1 года до 3 лет
Android-разработчик (Java/Kotlin),Москва,Мидлэнд Ритейл Груп,Программирование,220000,350000,Полный день,От 3 до 6 лет
"Android-разработчик (Kotlin, DJI Mobile SDK)",Москва,ИНФОГРЭЙС,Программирование,160000,300000,Полный день,От 1 года до 3 лет
Android-разработчик (Kotlin/Java),Красноярск,УРАБИ,Программирование,40000,200000,Полный день,От 1 года до 3 лет
Anykey (системный администратор),Санкт-Петербург,Киберкот-Т,Сетевые технологии,60000,70000,Полный день,От 3 до 6 лет
Automation QA engineer Web,Москва,CCS (Center of Corporate Solution),Программирование,150000,250000,Полный день,От 1 года до 3 лет
Automation QA специалист,Санкт-Петербург,Solveva,Программирование,200000,300000,Полный день,От 3 до 6 лет
Backend - разработчик (PHP),Барнаул,АлтайСтройМаш,Программирование,100000,250000,Полный день,От 3 до 6 лет
Backend (PHP) Developer,Санкт-Петербург,Beget,Программирование,140000,180000,Удаленная работа,От 1 года до 3 лет
Backend / Fullstack разработчик,Новосибирск,Дизайнмастер,Программирование,100000,150000,Полный день,Нет опыта
Backend / Fullstack разработчик Kotlin / Java,Ростов-на-Дону,Цифровые Контрольные Технологии,Программирование,60000,150000,Удаленная работа,От 3 до 6 лет
Backend Developer,Екатеринбург,МАГУС,Программирование,60000,180000,Гибкий график,От 1 года до 3 лет
Backend Developer,Новосибирск,АйТи Мегастар,Программирование,80000,150000,Гибкий график,От 1 года до 3 лет
Backend Developer / Разработчик,Сургут,Инфотех,Программирование,130000,160000,Полный день,От 1 года до 3 лет
Backend developer Node.js,Санкт-Петербург,Foach,Программирование,200000,250000,Полный день,От 3 до 6 лет
Backend Developer в Точку Сборки,Пермь,Хайв,Программирование,100000,250000,Полный день,От 3 до 6 лет
Backend Java разработчик,Москва,СОКБ,Программирование,160000,250000,Полный день,Более 6 лет
Backend PHP- программист,Санкт-Петербург,ОБИТ,Программирование,138000,160000,Полный день,От 3 до 6 лет
Backend PHP разработчик (Laravel),Москва,НИР,Программирование,150000,200000,Полный день,От 1 года до 3 лет
Backend разработчик,Брянск,Kvando Technologies,Программирование,90000,250000,Полный день,Нет опыта
Backend разработчик,Москва,Отделение ВТС ИЭРТ,Программирование,120000,240000,Полный день,От 1 года до 3 лет
Backend разработчик,Ростов-на-Дону,Южная маркетинговая компания,Программирование,60000,100000,Полный день,От 1 года до 3 лет
Back-end разработчик,Ростов-на-Дону,RNDSOFT,Программирование,100000,200000,Полный день,От 3 до 6 лет
Back-end разработчик,Санкт-Петербург,СК-ИНФОРМИКА,Программирование,120000,200000,Гибкий график,От 1 года до 3 лет
"Back-end разработчик (Node.js, TS, ES6-19, .Net Core 6+)",Челябинск,Alt.Point,Программирование,60000,120000,Полный день,От 1 года до 3 лет
Back-end разработчик (Web-программист),Киров,Страна карт,Программирование,50000,90000,Полный день,От 1 года до 3 лет
Back-end разработчик .Net,Санкт-Петербург,Центр пространственных исследований,Программирование,80000,130000,Гибкий график,От 1 года до 3 лет
Back-end разработчик .Net,Санкт-Петербург,Центр пространственных исследований,Программирование,80000,180000,Гибкий график,От 1 года до 3 лет
Backend Разработчик .Net & T-SQL / SQL Server,Самара,VDcom,Программирование,50000,150000,Полный день,Нет опыта
Backend разработчик .NET (C#),Пермь,Персис,Программирование,90000,180000,Полный день,От 1 года до 3 лет
Back-end разработчик / PHP программист (Symfony),Москва,Social Media Holding,Программирование,130000,400000,Полный день,От 1 года до 3 лет
Backend разработчик Junior,Москва,24Н Софт,Программирование,130000,180000,Гибкий график,От 1 года до 3 лет
Backend разработчик Node.js,Орёл,Pick&Pack,Программирование,100000,150000,Полный день,От 1 года до 3 лет
Backend/fullstack программист Node.js/Nest.js со знанием ReactJS +TypeScript (удаленно),Москва,АПИК АЙТИ,Программирование,80000,160000,Удаленная работа,От 1 года до 3 лет
Backend-разработчик,Екатеринбург,Callibri,Программирование,40000,150000,Полный день,От 1 года до 3 лет
Backend-разработчик,Екатеринбург,Вайтлист,Программирование,120000,180000,Полный день,От 1 года до 3 лет
Backend-разработчик,Екатеринбург,ИТ-ЛИНК,Программирование,80000,150000,Полный день,От 1 года до 3 лет
Backend-разработчик,Тверь,Опроссо,Программирование,300000,400000,Удаленная работа,Более 6 лет
Backend-разработчик (Node.JS),Санкт-Петербург,Продажи в Сети,Программирование,180000,280000,Полный день,От 3 до 6 лет
Backend-разработчик (php),Новосибирск,Центральное агентство недвижимости,Программирование,100000,150000,Полный день,Нет опыта
Backend-разработчик (php),Томск,VL.RU,Программирование,120000,180000,Полный день,От 1 года до 3 лет
Backend-разработчик junior,Томск,Спутник,Программирование,40000,60000,Полный день,Нет опыта
Backend-разработчик Kotlin/Java (junior),Барнаул,Биллинговый центр,Программирование,40000,63000,Гибкий график,Нет опыта
Backend-разработчик Kotlin/Java (middle),Барнаул,Биллинговый центр,Программирование,70000,148000,Полный день,От 1 года до 3 лет
Backend-разработчик PHP (Junior),Екатеринбург,МЕДИАТЕН,Программирование,35000,70000,Полный день,От 1 года до 3 лет
Backend-разработчик PHP (Middle),Екатеринбург,МЕДИАТЕН,Программирование,100000,150000,Гибкий график,От 3 до 6 лет
